deviceSerialNumber,taskId,unloadEnd,startTime,endTime,posExist,copyTime,preprocessTime,recognizeTime,renderTime,transfer2RemoteTime,computeRemoteTime,transfer2LocalTime,transTime,allTime
Y2M4WF,67,REMOTE,1726627058911,1726627059389,0,67,0,0,0,146,55,210,356,478
Y2M4WF,68,REMOTE,1726627059678,1726627059951,1,66,0,0,2,-92,73,224,132,273
Y2M4WF,69,REMOTE,1726627060178,1726627060472,0,60,0,0,1,-37,58,211,174,294
Y2M4WF,70,REMOTE,1726627060944,1726627061161,1,65,0,0,2,-141,74,215,74,217
Y2M4WF,71,REMOTE,1726627061445,1726627061769,1,68,0,0,1,-34,78,211,177,324
Y2M4WF,72,REMOTE,1726627062212,1726627062469,0,60,0,0,1,-77,58,213,136,257
Y2M4WF,73,REMOTE,1726627062709,1726627063068,0,68,0,0,0,-3,57,237,234,359
Y2M4WF,74,REMOTE,1726627063477,1726627063902,1,62,0,0,1,77,75,209,286,425
Y2M4WF,75,REMOTE,1726627063973,1726627064307,0,65,0,0,1,-30,54,242,212,334
Y2M4WF,76,REMOTE,1726627064741,1726627065116,0,64,0,0,0,15,57,239,254,375
Y2M4WF,77,REMOTE,1726627065241,1726627065543,0,68,0,0,1,-30,54,209,179,302
Y2M4WF,78,REMOTE,1726627066043,1726627066555,0,64,0,0,0,168,60,219,387,512
Y2M4WF,79,REMOTE,1726627066539,1726627066877,0,60,0,0,0,-40,56,259,219,338
Y2M4WF,80,REMOTE,1726627067304,1726627067605,0,61,0,0,0,-36,58,218,182,301
Y2M4WF,81,REMOTE,1726627067804,1726627068100,0,67,0,0,0,-41,58,212,171,296
Y2M4WF,82,REMOTE,1726627068571,1726627068959,0,60,0,0,0,-18,54,292,274,388
Y2M4WF,83,REMOTE,1726627069068,1726627069422,0,69,0,0,0,16,55,213,229,354
Y2M4WF,84,REMOTE,1726627069835,1726627070152,0,69,0,0,0,-48,57,239,191,317
Y2M4WF,85,REMOTE,1726627070334,1726627070655,0,68,0,0,0,-48,60,241,193,321
Y2M4WF,86,REMOTE,1726627071099,1726627071377,1,65,0,0,2,-75,76,210,135,278
Y2M4WF,87,REMOTE,1726627071600,1726627071838,0,62,0,0,1,-91,55,210,119,238
Y2M4WF,88,REMOTE,1726627072367,1726627072720,1,66,0,0,1,-3,77,211,208,353
Y2M4WF,89,REMOTE,1726627072866,1726627073118,0,67,0,0,1,-87,59,211,124,252
Y2M4WF,90,REMOTE,1726627073631,1726627073950,1,67,0,0,2,-43,80,213,170,319
Y2M4WF,91,REMOTE,1726627074164,1726627074590,1,69,0,0,1,32,76,246,278,426
Y2M4WF,92,REMOTE,1726627074897,1726627075152,0,60,0,0,1,-75,52,217,142,255
Y2M4WF,93,REMOTE,1726627075430,1726627075787,0,61,0,0,1,1,43,250,251,357
Y2M4WF,94,REMOTE,1726627076195,1726627076491,1,62,0,0,1,-55,76,210,155,296
Y2M4WF,95,REMOTE,1726627076696,1726627077026,1,71,0,0,1,-39,77,219,180,330
Y2M4WF,96,REMOTE,1726627077463,1726627077721,0,68,0,0,1,-78,56,210,132,258
